Date,ETF_Ticker,Stock_Ticker,Company_Name,Shares,Weight
2026-09-02,AVUV,CFFI,C + F FINANCIAL CORP COMMON STOCK USD1.0,34255.0,0.01
2026-09-02,AVUV,CFFN,CAPITOL FEDERAL FINANCIAL IN COMMON STOCK USD.01,2639111.0,0.07
2026-09-02,AVUV,CHCO,CITY HOLDING CO COMMON STOCK USD2.5,94395.0,0.04
2026-09-02,AVUV,CHMG,CHEMUNG FINANCIAL CORP COMMON STOCK USD.01,29525.0,0.01
2026-09-02,AVUV,CHRD,CHORD ENERGY CORP COMMON STOCK,1102285.0,0.52
2026-09-02,AVUV,CIVB,CIVISTA BANCSHARES INC COMMON STOCK,208014.0,0.02
2026-09-02,AVUV,CLAR,CLARUS CORP COMMON STOCK USD.0001,432087.0,0.01
2026-09-02,AVUV,CLMB,CLIMB GLOBAL SOLUTIONS INC COMMON STOCK USD.01,80283.0,0.01
2026-09-02,AVUV,CLNE,CLEAN ENERGY FUELS CORP COMMON STOCK USD.0001,1826248.0,0.01
2026-09-02,AVUV,CLSK,CLEANSPARK INC COMMON STOCK,1689773.0,0.06
2026-09-02,AVUV,CLVT,CLARIVATE PLC COMMON STOCK USD.01,15102991.0,0.1
2026-09-02,AVUV,CLW,CLEARWATER PAPER CORP COMMON STOCK USD.0001,173348.0,0.01
2026-09-02,AVUV,CMCL,CALEDONIA MINING CORP PLC COMMON STOCK,436204.0,0.04
2026-09-02,AVUV,CMDB,COSTAMARE BULKERS HOLDING COMMON STOCK USD.0001,284218.0,0.02
2026-09-02,AVUV,CMP,COMPASS MINERALS INTERNATION COMMON STOCK USD.01,2184099.0,0.18
2026-09-02,AVUV,CMRE,COSTAMARE INC COMMON STOCK USD.0001,2006967.0,0.1
2026-09-02,AVUV,CMT,CORE MOLDING TECHNOLOGIES IN COMMON STOCK USD.01,209442.0,0.02
2026-09-02,AVUV,CMTV,COMMUNITY BANCORP INC/VT COMMON STOCK USD2.5,54087.0,0.01
2026-09-02,AVUV,CNDT,CONDUENT INC COMMON STOCK USD.01,2020714.0,0.01
2026-09-02,AVUV,CNO,CNO FINANCIAL GROUP INC COMMON STOCK USD.01,2980443.0,0.52
2026-09-02,AVUV,CNOB,CONNECTONE BANCORP INC COMMON STOCK,1214319.0,0.12
2026-09-02,AVUV,CNR,CORE NATURAL RESOURCES INC COMMON STOCK USD.01,726692.0,0.24
2026-09-02,AVUV,CNX,CNX RESOURCES CORP COMMON STOCK USD.01,4542637.0,0.54
2026-09-02,AVUV,CNXN,PC CONNECTION INC COMMON STOCK USD.01,80918.0,0.02
2026-09-02,AVUV,COFS,CHOICEONE FINANCIAL SVCS INC COMMON STOCK,235687.0,0.03
2026-09-02,AVUV,COLB,COLUMBIA BANKING SYSTEM INC COMMON STOCK,3047496.0,0.29
2026-09-02,AVUV,COLL,COLLEGIUM PHARMACEUTICAL INC COMMON STOCK USD.001,443270.0,0.03
2026-09-02,AVUV,COLM,COLUMBIA SPORTSWEAR CO COMMON STOCK,887111.0,0.16
2026-09-02,AVUV,COOK,TRAEGER INC COMMON STOCK,27912.0,0.0
2026-09-02,AVUV,COUR,COURSERA INC COMMON STOCK USD.00001,1136683.0,0.02
2026-09-02,AVUV,CPF,CENTRAL PACIFIC FINANCIAL CO COMMON STOCK,881523.0,0.1
2026-09-02,AVUV,CPHC,CANTERBURY PARK HOLDING CORP COMMON STOCK USD.01,118.0,0.0
2026-09-02,AVUV,CPSS,CONSUMER PORTFOLIO SERVICES COMMON STOCK,62332.0,0.0
2026-09-02,AVUV,CRC,CALIFORNIA RESOURCES CORP COMMON STOCK USD.01,1622872.0,0.28
2026-09-02,AVUV,CRCT,CRICUT INC   CLASS A COMMON STOCK USD.001,1969635.0,0.04
2026-09-02,AVUV,CRD.A,CRAWFORD + COMPANY  CL A COMMON STOCK USD1.0,173699.0,0.01
2026-09-02,AVUV,CRD.B,CRAWFORD + CO   CL B COMMON STOCK USD1.0,57949.0,0.0
2026-09-02,AVUV,CRGY,CRESCENT ENERGY INC A COMMON STOCK USD.0001,9954432.0,0.45
2026-09-02,AVUV,CRI,CARTER S INC COMMON STOCK USD.01,1311403.0,0.13
2026-09-02,AVUV,CRK,COMSTOCK RESOURCES INC COMMON STOCK USD.5,2486549.0,0.12
