fund,ticker,company,previous_reported_date,current_reported_date,previous_shares,current_shares,raw_shares_delta,previous_weight,current_weight,weight_delta,estimated_creation_redemption_factor,flow_factor_confidence,flow_factor_sample_size,flow_adjusted_manager_delta,flow_adjusted_direction
ARKK,RXRX,RECURSION PHARMACEUTICALS-A,2026-09-24,2026-09-25,25244781,25192945,-51836,1.06,1.1,0.040000000000000036,-0.00205277833822215,0.9761904761904762,42,-14.060410037636757,Flow/Noise
ARKQ,ACHR,ARCHER AVIATION INC-A,2026-09-24,2026-09-25,8928306,8928306,0,2.61,2.61,0.0,0.0,1.0,37,0.0,Flow/Noise
ARKQ,AMD,ADVANCED MICRO DEVICES,2026-09-24,2026-09-25,155626,155626,0,4.9,5.01,0.10999999999999943,0.0,1.0,37,0.0,Flow/Noise
ARKQ,AMZN,AMAZON.COM INC,2026-09-24,2026-09-25,264140,264140,0,3.37,3.37,0.0,0.0,1.0,37,0.0,Flow/Noise
ARKQ,AUR,AURORA INNOVATION INC,2026-09-24,2026-09-25,5073552,5073552,0,1.64,1.57,-0.06999999999999984,0.0,1.0,37,0.0,Flow/Noise
ARKQ,AVAV,AEROVIRONMENT INC,2026-09-24,2026-09-25,342070,342070,0,2.73,2.78,0.04999999999999982,0.0,1.0,37,0.0,Flow/Noise
ARKQ,AVGO,BROADCOM INC,2026-09-24,2026-09-25,121203,121203,0,2.2,2.17,-0.03000000000000025,0.0,1.0,37,0.0,Flow/Noise
ARKQ,BIDU,BAIDU INC - SPON ADR,2026-09-24,2026-09-25,184984,184984,0,0.85,0.83,-0.020000000000000018,0.0,1.0,37,0.0,Flow/Noise
ARKQ,BWXT,BWX TECHNOLOGIES INC,2026-09-24,2026-09-25,202133,202133,0,1.47,1.43,-0.040000000000000036,0.0,1.0,37,0.0,Flow/Noise
ARKQ,BYDDY,BYD CO LTD-UNSPONSORED ADR,2026-09-24,2026-09-25,1613123,1613123,0,0.84,0.83,-0.010000000000000009,0.0,1.0,37,0.0,Flow/Noise
ARKQ,CAT,CATERPILLAR INC,2026-09-24,2026-09-25,32131,32131,0,1.34,1.32,-0.020000000000000018,0.0,1.0,37,0.0,Flow/Noise
ARKQ,CCJ,CAMECO CORP,2026-09-24,2026-09-25,318121,318121,0,1.48,1.43,-0.050000000000000044,0.0,1.0,37,0.0,Flow/Noise
ARKQ,DASH,DOORDASH INC - A,2026-09-24,2026-09-25,148622,148622,0,1.44,1.43,-0.010000000000000009,0.0,1.0,37,0.0,Flow/Noise
ARKQ,DE,DEERE & CO,2026-09-24,2026-09-25,82537,82537,0,3.0,2.94,-0.06000000000000005,0.0,1.0,37,0.0,Flow/Noise
ARKQ,ESLT,ELBIT SYSTEMS LTD,2026-09-24,2026-09-25,29371,29371,0,1.12,1.11,-0.010000000000000009,0.0,1.0,37,0.0,Flow/Noise
ARKQ,GOOG,ALPHABET INC-CL C,2026-09-24,2026-09-25,259897,259897,0,4.46,4.51,0.04999999999999982,0.0,1.0,37,0.0,Flow/Noise
ARKQ,GOOGL,ALPHABET INC-CL A,2026-09-24,2026-09-25,4092,4092,0,0.07,0.07,0.0,0.0,1.0,37,0.0,Flow/Noise
ARKQ,ISRG,INTUITIVE SURGICAL INC,2026-09-24,2026-09-25,65916,65916,0,1.35,1.35,0.0,0.0,1.0,37,0.0,Flow/Noise
ARKQ,JOBY,JOBY AVIATION INC,2026-09-24,2026-09-25,3246570,3246570,0,1.04,1.05,0.010000000000000009,0.0,1.0,37,0.0,Flow/Noise
ARKQ,KDK,KODIAK AI INC,2026-09-24,2026-09-25,3844261,3844261,0,0.59,0.55,-0.039999999999999925,0.0,1.0,37,0.0,Flow/Noise
ARKQ,KMTUY,KOMATSU LTD -SPONS ADR,2026-09-24,2026-09-25,783373,783373,0,1.79,1.86,0.07000000000000006,0.0,1.0,37,0.0,Flow/Noise
ARKQ,KTOS,KRATOS DEFENSE & SECURITY,2026-09-24,2026-09-25,2241950,2241950,0,5.3,5.4,0.10000000000000053,0.0,1.0,37,0.0,Flow/Noise
ARKQ,LHX,L3HARRIS TECHNOLOGIES INC,2026-09-24,2026-09-25,216314,216314,0,2.65,2.64,-0.009999999999999787,0.0,1.0,37,0.0,Flow/Noise
ARKQ,LUNR,INTUITIVE MACHINES INC,2026-09-24,2026-09-25,2332102,2332102,0,1.82,1.87,0.050000000000000044,0.0,1.0,37,0.0,Flow/Noise
ARKQ,NVDA,NVIDIA CORP,2026-09-24,2026-09-25,428976,428976,0,4.96,4.93,-0.03000000000000025,0.0,1.0,37,0.0,Flow/Noise
ARKQ,OKLO,OKLO INC,2026-09-24,2026-09-25,444227,444227,0,0.88,0.87,-0.010000000000000009,0.0,1.0,37,0.0,Flow/Noise
ARKQ,PLTR,PALANTIR TECHNOLOGIES INC-A,2026-09-24,2026-09-25,496166,496166,0,4.88,4.89,0.009999999999999787,0.0,1.0,37,0.0,Flow/Noise
ARKQ,PONY,PONY AI INC,2026-09-24,2026-09-25,2796770,2796770,0,1.04,1.01,-0.030000000000000027,0.0,1.0,37,0.0,Flow/Noise
ARKQ,RKLB UQ,ROCKET LAB,2026-09-24,2026-09-25,1151191,1151191,0,4.15,4.34,0.1899999999999995,0.0,1.0,37,0.0,Flow/Noise
ARKQ,SNPS,SYNOPSYS INC,2026-09-24,2026-09-25,42845,42845,0,0.91,0.93,0.020000000000000018,0.0,1.0,37,0.0,Flow/Noise
ARKQ,SPCX,SPACE EXPLORATION TECHN-CL A,2026-09-24,2026-09-25,1053214,1053214,0,8.01,7.98,-0.02999999999999936,0.0,1.0,37,0.0,Flow/Noise
ARKQ,SYM UQ,SYMBOTIC INC,2026-09-24,2026-09-25,643062,643062,0,1.44,1.45,0.010000000000000009,0.0,1.0,37,0.0,Flow/Noise
ARKQ,TER,TERADYNE INC,2026-09-24,2026-09-25,324965,324965,0,6.48,6.45,-0.03000000000000025,0.0,1.0,37,0.0,Flow/Noise
ARKQ,TRMB,TRIMBLE INC,2026-09-24,2026-09-25,668515,668515,0,2.03,1.97,-0.05999999999999983,0.0,1.0,37,0.0,Flow/Noise
ARKQ,TSLA,TESLA INC,2026-09-24,2026-09-25,563948,563948,0,10.99,10.91,-0.08000000000000007,0.0,1.0,37,0.0,Flow/Noise
ARKQ,TSM,TAIWAN SEMICONDUCTOR-SP ADR,2026-09-24,2026-09-25,160893,160893,0,3.68,3.72,0.040000000000000036,0.0,1.0,37,0.0,Flow/Noise
ARKQ,WRD,WERIDE INC-ADR,2026-09-24,2026-09-25,3577272,3577272,0,1.07,1.06,-0.010000000000000009,0.0,1.0,37,0.0,Flow/Noise
ARKQ,XE,X-ENERGY INC,2026-09-24,2026-09-25,1483627,1483627,0,1.25,1.19,-0.06000000000000005,0.0,1.0,37,0.0,Flow/Noise
ARKW,ABNB,AIRBNB INC-CLASS A,2026-09-24,2026-09-25,94513,94513,0,0.72,0.72,0.0,0.0,1.0,38,0.0,Flow/Noise
ARKW,AMD,ADVANCED MICRO DEVICES,2026-09-24,2026-09-25,140152,140152,0,4.39,4.46,0.07000000000000028,0.0,1.0,38,0.0,Flow/Noise
ARKW,AMZN,AMAZON.COM INC,2026-09-24,2026-09-25,278558,278558,0,3.54,3.51,-0.03000000000000025,0.0,1.0,38,0.0,Flow/Noise
ARKW,AVGO,BROADCOM INC,2026-09-24,2026-09-25,126097,126097,0,2.28,2.23,-0.04999999999999982,0.0,1.0,38,0.0,Flow/Noise
ARKW,BLSH,BULLISH,2026-09-24,2026-09-25,882915,882915,0,1.8,1.77,-0.030000000000000027,0.0,1.0,38,0.0,Flow/Noise
ARKW,BMNR,BITMINE IMMERSION TECHNOLOGI,2026-09-24,2026-09-25,1539619,1539619,0,2.15,2.18,0.03000000000000025,0.0,1.0,38,0.0,Flow/Noise
ARKW,CBRS,CEREBRAS SYSTEMS INC - A,2026-09-24,2026-09-25,247171,247171,0,2.59,2.58,-0.009999999999999787,0.0,1.0,38,0.0,Flow/Noise
ARKW,COIN,COINBASE GLOBAL INC -CLASS A,2026-09-24,2026-09-25,394119,394119,0,3.98,3.97,-0.009999999999999787,0.0,1.0,38,0.0,Flow/Noise
ARKW,CRCL,CIRCLE INTERNET GROUP INC,2026-09-24,2026-09-25,971276,971276,0,4.54,4.57,0.03000000000000025,0.0,1.0,38,0.0,Flow/Noise
ARKW,CRWD,CROWDSTRIKE HOLDINGS INC - A,2026-09-24,2026-09-25,164012,164012,0,2.19,2.15,-0.040000000000000036,0.0,1.0,38,0.0,Flow/Noise
ARKW,CRWV,COREWEAVE INC-CL A,2026-09-24,2026-09-25,816669,816669,0,3.62,3.72,0.10000000000000009,0.0,1.0,38,0.0,Flow/Noise
ARKW,DASH,DOORDASH INC - A,2026-09-24,2026-09-25,95472,95472,0,0.92,0.91,-0.010000000000000009,0.0,1.0,38,0.0,Flow/Noise
ARKW,DDOG,DATADOG INC - CLASS A,2026-09-24,2026-09-25,174544,174544,0,2.24,2.27,0.029999999999999805,0.0,1.0,38,0.0,Flow/Noise
ARKW,DKNG UW,DRAFTKINGS INC-CL A,2026-09-24,2026-09-25,635771,635771,0,0.69,0.68,-0.009999999999999898,0.0,1.0,38,0.0,Flow/Noise
